epoch	mse
1	0.0006126049347221852
2	0.00034544995054602623
3	0.00024764711735770107
4	0.00017751944018527867
5	0.00013873803196474908
6	0.00013027062290348114
7	0.00010336781851947308
8	0.00017425544443540274
9	8.926692651584744e-05
10	0.00017437859438359737
11	0.00010861166345421224
12	0.0001000494894105941
13	0.0002707983227446675
14	0.00044468248728662724
15	0.00015851490898057818
16	8.603421796578913e-05
17	0.00026695278706029057
18	9.610663924831897e-05
19	0.00037122445181012156
20	0.00024914596928283573
21	0.00011816998245194553
22	0.0002256413619033992
23	8.880382578354328e-05
24	0.00016357913031242788
25	9.832245123106987e-05
26	0.00012865798431448638
27	9.199075342621654e-05
28	0.00011839084909297526
29	8.82767076836899e-05
30	0.00016551724751479925
31	0.00021391326328739523
32	0.00013453384744934737
33	8.025052899029106e-05
34	0.00021509313490241768
35	0.0003254461730830371
36	0.0002845167834311724
37	0.00016109497169964016
38	0.00018780299695208668
39	0.00015302141779102385
40	0.00012721092090941965
41	0.0001160877395886928
42	0.00017515947809442877
43	0.00011334663606248797
44	0.00011059463722631335
45	0.00013478757347911596
46	9.70277318265289e-05
47	8.18307651206851e-05
48	8.177697309292853e-05
49	8.427006658166647e-05
50	9.0805011568591e-05
51	0.000269669012632221
52	9.624305297620595e-05
53	0.00047260622959584
54	8.485805010423064e-05
55	0.0001836012373678386
56	0.00011114043183624745
57	7.90434709051624e-05
58	0.00011586418026126922
59	0.00013308879337273538
60	8.277813962195068e-05
61	0.00010437106247991323
62	0.0006964101968333125
63	0.00010418859077617527
64	8.823992393445224e-05
65	8.226489182561636e-05
66	9.077308175619691e-05
67	8.619051135610789e-05
68	8.499922580085695e-05
69	8.601386216469109e-05
70	8.597875363193452e-05
71	0.00023648538393899798
72	0.00018625293974764643
73	0.0005205910140648484
74	0.0003951324103400111
75	8.430101617705078e-05
